city_id,city_name,quarter,quarter_label,price_composite,price_lt60sqm,price_60to110sqm,price_gt110sqm
37.0,Chandigarh (Tricity),25-26 Q1,Jun 2025,7314.0,7555.0,6263.0,8789.0
37.0,Chandigarh (Tricity),25-26 Q2,Sep 2025,7268.0,7564.0,6720.0,7543.0
37.0,Chandigarh (Tricity),25-26 Q3,Dec 2025,7943.0,8040.0,7293.0,9005.0
37.0,Chandigarh (Tricity),25-26 Q4,Mar 2026,7792.0,8340.0,7473.0,6866.0
68.0,Ludhiana,25-26 Q1,Jun 2025,4903.0,4302.0,4343.0,5857.0
68.0,Ludhiana,25-26 Q2,Sep 2025,5360.0,4184.0,5113.0,6260.0
68.0,Ludhiana,25-26 Q3,Dec 2025,5250.0,3733.0,3880.0,7608.0
68.0,Ludhiana,25-26 Q4,Mar 2026,5949.0,5074.0,5244.0,7211.0
67.0,Dehradun,25-26 Q1,Jun 2025,6703.0,7282.0,7060.0,5756.0
67.0,Dehradun,25-26 Q2,Sep 2025,6758.0,7108.0,7000.0,6150.0
67.0,Dehradun,25-26 Q3,Dec 2025,7475.0,7773.0,7407.0,7311.0
67.0,Dehradun,25-26 Q4,Mar 2026,8161.0,8103.0,8167.0,8202.0
74.0,Faridabad,25-26 Q1,Jun 2025,7550.0,6982.0,7505.0,8453.0
74.0,Faridabad,25-26 Q2,Sep 2025,7618.0,7146.0,7672.0,8248.0
74.0,Faridabad,25-26 Q3,Dec 2025,8534.0,7977.0,8596.0,9282.0
74.0,Faridabad,25-26 Q4,Mar 2026,9436.0,8587.0,9600.0,10483.0
82.0,Gurugram,25-26 Q1,Jun 2025,17807.0,12964.0,19475.0,18810.0
82.0,Gurugram,25-26 Q2,Sep 2025,17320.0,12657.0,19065.0,18186.0
82.0,Gurugram,25-26 Q3,Dec 2025,18607.0,13355.0,21133.0,19179.0
82.0,Gurugram,25-26 Q4,Mar 2026,18967.0,13706.0,21184.0,19765.0
113.0,Delhi,25-26 Q1,Jun 2025,9233.0,7487.0,10870.0,17755.0
113.0,Delhi,25-26 Q2,Sep 2025,9440.0,7830.0,11000.0,17100.0
113.0,Delhi,25-26 Q3,Dec 2025,9446.0,7793.0,10809.0,18220.0
113.0,Delhi,25-26 Q4,Mar 2026,9446.0,7844.0,10973.0,17162.0
143.0,Bhiwadi,25-26 Q1,Jun 2025,3461.0,2880.0,3934.0,3239.0
143.0,Bhiwadi,25-26 Q2,Sep 2025,3303.0,2926.0,3600.0,3250.0
143.0,Bhiwadi,25-26 Q3,Dec 2025,3213.0,3065.0,3324.0,3240.0
143.0,Bhiwadi,25-26 Q4,Mar 2026,3512.0,3182.0,3794.0,3256.0
38.0,Jaipur,25-26 Q1,Jun 2025,5036.0,4437.0,5294.0,5400.0
38.0,Jaipur,25-26 Q2,Sep 2025,5049.0,4640.0,5240.0,5256.0
38.0,Jaipur,25-26 Q3,Dec 2025,5463.0,4789.0,5783.0,5795.0
38.0,Jaipur,25-26 Q4,Mar 2026,5446.0,4800.0,5640.0,6060.0
97.0,Ghaziabad,25-26 Q1,Jun 2025,7415.0,6528.0,7981.0,8732.0
97.0,Ghaziabad,25-26 Q2,Sep 2025,7991.0,6480.0,8607.0,11321.0
97.0,Ghaziabad,25-26 Q3,Dec 2025,8143.0,6822.0,8580.0,11374.0
97.0,Ghaziabad,25-26 Q4,Mar 2026,8062.0,6922.0,8580.0,10411.0
98.0,Greater Noida,25-26 Q1,Jun 2025,10373.0,8426.0,10732.0,11998.0
98.0,Greater Noida,25-26 Q2,Sep 2025,10582.0,8293.0,11593.0,10900.0
98.0,Greater Noida,25-26 Q3,Dec 2025,10612.0,7693.0,11315.0,12604.0
98.0,Greater Noida,25-26 Q4,Mar 2026,11256.0,7818.0,11770.0,14453.0
42.0,Kanpur,25-26 Q1,Jun 2025,5939.0,5520.0,6133.0,6240.0
42.0,Kanpur,25-26 Q2,Sep 2025,6280.0,5410.0,6463.0,7801.0
42.0,Kanpur,25-26 Q3,Dec 2025,6208.0,5716.0,6464.0,6449.0
42.0,Kanpur,25-26 Q4,Mar 2026,6170.0,5400.0,6724.0,5931.0
43.0,Lucknow,25-26 Q1,Jun 2025,6837.0,5679.0,6720.0,7800.0
43.0,Lucknow,25-26 Q2,Sep 2025,6151.0,5824.0,6060.0,6500.0
43.0,Lucknow,25-26 Q3,Dec 2025,6611.0,6495.0,5459.0,8205.0
43.0,Lucknow,25-26 Q4,Mar 2026,6916.0,5320.0,6582.0,8470.0
71.0,Meerut,25-26 Q1,Jun 2025,4688.0,4348.0,4800.0,4650.0
71.0,Meerut,25-26 Q2,Sep 2025,4893.0,4939.0,4800.0,5163.0
71.0,Meerut,25-26 Q3,Dec 2025,5280.0,4760.0,5220.0,6000.0
71.0,Meerut,25-26 Q4,Mar 2026,5278.0,4789.0,5280.0,5760.0
112.0,Noida,25-26 Q1,Jun 2025,10479.0,6960.0,10826.0,13800.0
112.0,Noida,25-26 Q2,Sep 2025,10527.0,7018.0,11595.0,12613.0
112.0,Noida,25-26 Q3,Dec 2025,10625.0,7254.0,11600.0,12717.0
112.0,Noida,25-26 Q4,Mar 2026,10384.0,7333.0,10488.0,13595.0
